Loinc Long Common Name	Score	Candidate HPO Class URI	Candidate HPO Class Label	Candidate HPO Class Definition
Potassium [Moles/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0008153	Periodic hypokalemic paresis	Episodes of muscle weakness associated with reduced levels of potassium in the blood.
Potassium [Moles/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0002153	Hyperkalemia	An abnormally increased potassium concentration in the blood.
Potassium [Moles/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0007215	Periodic hyperkalemic paralysis	Episodes of muscle weakness associated with elevated levels of potassium in the blood.
Potassium [Moles/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0002900	Hypokalemia	An abnormally decreased potassium concentration in the blood.
Potassium [Moles/volume] in Serum or Plasma	100	http://purl.obolibrary.org/obo/HP_0012726	Episodic hypokalemia	An abnormally decreased potassium concentration in the blood occurring periodically with a return to normal between the episodes.
Potassium [Moles/volume] in Serum or Plasma	80	http://purl.obolibrary.org/obo/HP_0003081	Increased urinary potassium	An increased concentration of potassium(1+) in the urine.
Potassium [Moles/volume] in Serum or Plasma	80	http://purl.obolibrary.org/obo/HP_0012364	Decreased urinary potassium	A decreased concentration of potassium(1+) in the urine.
Potassium [Moles/volume] in Serum or Plasma	80	http://purl.obolibrary.org/obo/HP_0011042	Abnormality of potassium homeostasis	An abnormal concentration of potassium.
Potassium [Moles/volume] in Serum or Plasma	80	http://purl.obolibrary.org/obo/HP_0000128	Renal potassium wasting	High urine potassium in the presence of hypokalemia.
Potassium [Moles/volume] in Serum or Plasma	80	http://purl.obolibrary.org/obo/HP_0001994	Renal Fanconi syndrome	An inability of the tubules in the kidney to reabsorb small molecules, causing increased urinary loss of electrolytes (sodium, potassium, bicarbonate), minerals, glucose, amino acids, and water.
Potassium [Moles/volume] in Serum or Plasma	80	http://purl.obolibrary.org/obo/HP_0012598	Abnormal urine potassium concentration	An abnormal concentration of potassium(1+) in the urine.
Hemoglobin [Mass/volume] in Blood	Too many (20) classes are found. List top 15 only
Hemoglobin [Mass/volume] in Blood	100	http://purl.obolibrary.org/obo/HP_0025548	Increased mean corpuscular hemoglobin@en	An eklevation over the normal range of the average amount of hemoglobin per red blood cell (27 to 31 picograms/cell).
Hemoglobin [Mass/volume] in Blood	100	http://purl.obolibrary.org/obo/HP_0045048	Increased HbA2 hemoglobin	An elevated concentration in the blood of hemoglobin A2 (HbA2), which is a normal variant of hemoglobin A that consists of two alpha and two delta chains and is normally present at low levels in adults but may be increased in beta thalassemia.
Hemoglobin [Mass/volume] in Blood	100	http://purl.obolibrary.org/obo/HP_0040217	Elevated hemoglobin A1c	An increased concentration of hemoglobin A1c (HbA1c), which is the product of nonenzymatic attachment of a hexose molecule to the N-terminal amino acid of the hemoglobin molecule. This reaction is dependent on blood glucose concentration, and therefore reflects the mean glucose concentration over the previous 8 to 12 weeks. The HbA1c level provides a better indication of long-term glycemic control than one-time blood or urinary glucose measurements.
Hemoglobin [Mass/volume] in Blood	100	http://purl.obolibrary.org/obo/HP_0025547	Decreased mean corpuscular hemoglobin@en	A reduction from the normal range of the average amount of hemoglobin per red blood cell (27 to 31 picograms/cell). A reduced mean corpuscular hemoglobin (MCH) may indicate a hypochromic anemia, but the MCH may be normal if both the total hemoglobin and the red blood cell count are reduced.
Hemoglobin [Mass/volume] in Blood	100	http://purl.obolibrary.org/obo/HP_0025546	Abnormal mean corpuscular hemoglobin@en	A deviation from the normal range of the average amount of hemoglobin per red blood cell (27 to 31 picograms/cell). A reduced mean corpuscular hemoglobin (MCH) may indicate a hypochromic anemia, but the MCH may be normal if both the total hemoglobin and the red blood cell count are reduced.
Hemoglobin [Mass/volume] in Blood	100	http://purl.obolibrary.org/obo/HP_0005511	Heinz body anemia	Anemia characterized by abnormal intracellular inclusions, composed of denatured hemoglobin, found on the membrane of red blood cells.
Hemoglobin [Mass/volume] in Blood	100	http://purl.obolibrary.org/obo/HP_0012119	Methemoglobinemia	Abnormally increased levels of Methemoglobinemia in the blood. In this form of hemoglobin, there is an oxidized ferric iron (Fe +3) rather than the reduced ferrous form (Fe 2+) that is normally found in hemoglobin. Methemoglobin has a reduced affinity for oxygen, resulting in a reduced ability to release oxygen to tissues.
Hemoglobin [Mass/volume] in Blood	80	http://purl.obolibrary.org/obo/HP_0001900	Increased hemoglobin	
Hemoglobin [Mass/volume] in Blood	80	http://purl.obolibrary.org/obo/HP_0011902	Abnormal hemoglobin	Anomaly in the level or the function of hemoglobin, the oxygen-carrying protein of erythrocytes.
Hemoglobin [Mass/volume] in Blood	80	http://purl.obolibrary.org/obo/HP_0004840	Hypochromic microcytic anemia	A type of anemia characterized by an abnormally low concentration of hemoglobin in the erythrocytes and lower than normal size of the erythrocytes.
Hemoglobin [Mass/volume] in Blood	80	http://purl.obolibrary.org/obo/HP_0004825	Increased hemoglobin oxygen affinity	An abnormal increase in the binding affinity of hemoglobin for oxygen.
Hemoglobin [Mass/volume] in Blood	80	http://purl.obolibrary.org/obo/HP_0005507	Hemoglobin Barts	Normal adult hemoglobin is composed of two chains each of alpha and beta globin. Hb Barts (Hemoglobin Barts) is a tetramer with four gamma globin chains, and is essentially pathognomonic for one or another form of alpha thalassemia. Hb Barts has an extremely high affinity for oxygen, resulting in almost no oxygen delivery to the tissues.
Hemoglobin [Mass/volume] in Blood	80	http://purl.obolibrary.org/obo/HP_0004856	Normochromic microcytic anemia	A type of anemia characterized by an normal concentration of hemoglobin in the erythrocytes and lower than normal size of the erythrocytes.
Hemoglobin [Mass/volume] in Blood	80	http://purl.obolibrary.org/obo/HP_0001903	Anemia	A reduction in erythrocytes volume or hemoglobin concentration.
Hemoglobin [Mass/volume] in Blood	80	http://purl.obolibrary.org/obo/HP_0001972	Macrocytic anemia	A type of anemia characterized by increased size of erythrocytes with increased mean corpuscular volume (MCV) and increased mean corpuscular hemoglobin (MCH).
Erythrocyte distribution width [Ratio] by Automated count	Too many (30) classes are found. List top 15 only
Erythrocyte distribution width [Ratio] by Automated count	60	http://purl.obolibrary.org/obo/MPATH_198	immune mediated hemolytic anaemia	An anemic/erythrocytopenic condition resulting from an increased rate of immune mediated erythrocyte destruction.
Erythrocyte distribution width [Ratio] by Automated count	60	http://purl.obolibrary.org/obo/HP_0004840	Hypochromic microcytic anemia	A type of anemia characterized by an abnormally low concentration of hemoglobin in the erythrocytes and lower than normal size of the erythrocytes.
Erythrocyte distribution width [Ratio] by Automated count	60	http://purl.obolibrary.org/obo/HP_0004447	Poikilocytosis	The presence of abnormally shaped erythrocytes.
Erythrocyte distribution width [Ratio] by Automated count	60	http://purl.obolibrary.org/obo/HP_0025109	Reduced red cell pyruvate kinase activity@en	Decrease in the activity of pyruvate kinase (PK) within erythrocytes. PK catalyzes the reaction: ATP + pyruvate = ADP + phosphoenolpyruvate.
Erythrocyte distribution width [Ratio] by Automated count	60	http://purl.obolibrary.org/obo/HP_0025022	Decreased erythrocyte sedimentation rate@en	A reduced erythrocyte sedimentation rate (ESR). The ESR is a test that measures the distance that erythrocytes have fallen after one hour in a vertical column of anticoagulated blood under the influence of gravity. The ESR is a nonspecific finding. A decreased ESR may be seen in polycythemia or in certain blood diseases in which red blood cells have an irregular or smaller shape that causes slower settling.
Erythrocyte distribution width [Ratio] by Automated count	60	http://purl.obolibrary.org/obo/HP_0025065	Abnormal erythrocyte volume@en	A deviation from normal of the mean corpuscular volume, or mean cell volume (MCV) of red blood cells, usually taken to be 80 to 100 femtoliters.
Erythrocyte distribution width [Ratio] by Automated count	60	http://purl.obolibrary.org/obo/HP_0012130	Abnormality of cells of the erythroid lineage	An anomaly of erythroid lineage cells, that is, of the erythropoietic cells in the lineage leading to and including erythrocytes.
Erythrocyte distribution width [Ratio] by Automated count	60	http://purl.obolibrary.org/obo/HP_0025021	Abnormal erythrocyte sedimentation rate@en	A deviation from normal range of the erythrocyte sedimentation rate (ESR), a test that measures the distance that erythrocytes have fallen after one hour in a vertical column of anticoagulated blood under the influence of gravity. The ESR is a nonspecific finding. An elevation may indicate inflammation or may be caused by any condition that elevates fibrinogen. A decreased ESR may be seen in polycythemia or in certain blood diseases in which red blood cells have an irregular or smaller shape that causes slower settling.
Erythrocyte distribution width [Ratio] by Automated count	60	http://purl.obolibrary.org/obo/HP_0001923	Reticulocytosis	An elevation in the number of reticulocytes (immature erythrocytes) in the peripheral blood circulation.
Erythrocyte distribution width [Ratio] by Automated count	60	http://purl.obolibrary.org/obo/HP_0004857	Hyperchromic macrocytic anemia	A type of anemia cahracterized by abnormally large erythrocytes with abnormally high amounts of haemoglobin.
Erythrocyte distribution width [Ratio] by Automated count	60	http://purl.obolibrary.org/obo/HP_0012187	Increased erythrocyte protoporphyrin concentration	An increased concentration of protoporphyrins in erythrocytes.
Erythrocyte distribution width [Ratio] by Automated count	60	http://purl.obolibrary.org/obo/HP_0011273	Anisocytosis	Abnormally increased variability in the size of erythrocytes.
Erythrocyte distribution width [Ratio] by Automated count	60	http://purl.obolibrary.org/obo/HP_0004856	Normochromic microcytic anemia	A type of anemia characterized by an normal concentration of hemoglobin in the erythrocytes and lower than normal size of the erythrocytes.
Erythrocyte distribution width [Ratio] by Automated count	60	http://purl.obolibrary.org/obo/HP_0004823	Anisopoikilocytosis	A type of poikilocytosis characterized by the presence in the blood of erythrocytes of varying sizes and abnormal shapes.
Erythrocyte distribution width [Ratio] by Automated count	60	http://purl.obolibrary.org/obo/HP_0001903	Anemia	A reduction in erythrocytes volume or hemoglobin concentration.
Erythrocytes [#/volume] in Blood by Automated count	100	http://purl.obolibrary.org/obo/HP_0025022	Decreased erythrocyte sedimentation rate@en	A reduced erythrocyte sedimentation rate (ESR). The ESR is a test that measures the distance that erythrocytes have fallen after one hour in a vertical column of anticoagulated blood under the influence of gravity. The ESR is a nonspecific finding. A decreased ESR may be seen in polycythemia or in certain blood diseases in which red blood cells have an irregular or smaller shape that causes slower settling.
